timestamp,longitude,latitude,projection_lat,projection_lon,linkPVID
1475336077.0,108.94673999999999,34.20663,34.206629770843676,108.94682764520536,251746752.0
1475336080.0,108.94673999999999,34.20711,34.20710976568666,108.94682954247992,251746752.0
1475336083.0,108.94675,34.20762,34.20761978748231,108.94683155830843,251746752.0
1475336086.0,108.94675,34.20812,34.20811992006775,108.94683321175259,251746752.0
1475336089.0,108.94675,34.20863,34.208629919224016,108.94683401006586,251746752.0
1475336092.0,108.94675,34.20915,34.20915099163939,108.94658349568506,258738673.0
1475336095.0,108.94675,34.20965,34.20965096642563,108.94658776580928,258738673.0
1475336098.0,108.94675,34.2101,34.21010094373545,108.94659160883141,258738673.0
1475336101.0,108.94675,34.21051,34.210510924182955,108.94659511280963,258738673.0
1475336104.0,108.94673999999999,34.21087,34.21087084696268,108.94659819041931,258738673.0
1475336107.0,108.94673999999999,34.21114,34.21114083331932,108.94660049896956,258738673.0
1475336110.0,108.94673999999999,34.21135,34.21135082270833,108.94660229448748,258738673.0
1475336113.0,108.94673999999999,34.21148,34.21148081613987,108.94660340598931,258738673.0
1475336116.0,108.94673999999999,34.21148,34.21148081613987,108.94660340598931,258738673.0
1475336119.0,108.94673999999999,34.21171,34.211710807765684,108.9466053736198,258738673.0
1475336122.0,108.94673999999999,34.21196,34.211960795031594,108.94660751983116,258738673.0
1475336125.0,108.94673999999999,34.21221,34.212210782298115,108.94660966601641,258738673.0
1475336128.0,108.94673999999999,34.21248,34.21248076854675,108.94661198386706,258738673.0
1475336131.0,108.94673999999999,34.21277,34.21277075377758,108.94661447337644,258738673.0
1475336134.0,108.94675,34.21308,34.21308079724753,108.94661713504587,258738673.0
1475336137.0,108.94675,34.21338,34.213380781969505,108.9466197103245,258738673.0
1475336140.0,108.94675,34.21366,34.21366076771083,108.94662211388388,258738673.0
1475336143.0,108.94675,34.21393,34.213930753962195,108.9466244315708,258738673.0
1475336146.0,108.94675,34.21418,34.21418074123266,108.94662657755005,258738673.0
1475336149.0,108.94675,34.21444,34.214440727994635,108.94662880934068,258738673.0
1475336152.0,108.94675,34.21471,34.21471059117534,108.94663078470907,258738673.0
1475336155.0,108.94675,34.21496,34.21496058255283,108.94663255052532,258738673.0
1475336158.0,108.94676000000001,34.21522,34.215220622340524,108.94663438728847,258738673.0
1475336161.0,108.94677,34.21547,34.21547066247201,108.94663615339115,258738673.0
1475336164.0,108.94677,34.21568,34.21568065522841,108.94663763660618,258738673.0
1475336167.0,108.94677,34.21588,34.21588064833007,108.94663904917329,258738673.0
1475336170.0,108.94677,34.21604,34.21604064281166,108.94664017921387,258738673.0
1475336173.0,108.94677,34.21624,34.216240635913984,108.94664159174822,258738673.0
1475336176.0,108.94677,34.21645,34.21645062867177,108.94664307488978,258738673.0
1475336179.0,108.94678,34.21665,34.21664939591523,108.94689678916693,260087891.0
1475336182.0,108.94678,34.21683,34.21682938871461,108.94689816057344,260087891.0
1475336185.0,108.94678,34.21696,34.216959383514364,108.94689915102482,260087891.0
1475336188.0,108.94678,34.21696,34.216959383514364,108.94689915102482,260087891.0
1475336191.0,108.94678,34.217040000000004,34.21703938031427,108.94689976052963,260087891.0
1475336194.0,108.94678,34.217040000000004,34.21703938031427,108.94689976052963,260087891.0
1475336197.0,108.94678,34.217040000000004,34.21703938031427,108.94689976052963,260087891.0
1475336200.0,108.94678,34.217040000000004,34.21703938031427,108.94689976052963,260087891.0
1475336203.0,108.94678,34.217040000000004,34.21703938031427,108.94689976052963,260087891.0
1475336206.0,108.94678,34.217040000000004,34.21703938031427,108.94689976052963,260087891.0
1475336209.0,108.94678,34.217040000000004,34.21703938031427,108.94689976052963,260087891.0
1475336212.0,108.94678,34.217040000000004,34.21703938031427,108.94689976052963,260087891.0
1475336215.0,108.94678,34.2171,34.217099377914266,108.9469002176564,260087891.0
1475336218.0,108.94678,34.2172,34.21719937391431,108.9469009795308,260087891.0
1475336221.0,108.94678,34.21738,34.2173793667146,108.94690235089365,260087891.0
1475336224.0,108.94678,34.21756,34.21755935951525,108.94690372224224,260087891.0
1475336227.0,108.94678,34.21776,34.217759351516264,108.94690524594608,260087891.0
1475336230.0,108.94678,34.21795,34.2179493439176,108.94690669344835,260087891.0
1475336233.0,108.94678,34.21808,34.218169563412765,108.94677631866229,295965991.0
1475336236.0,108.94678,34.21825,34.21828973849976,108.94678205834064,295965990.0
1475336239.0,108.94678,34.21846,34.218459252619766,108.94691293753144,260087891.0
1475336242.0,108.94678,34.21868,34.218679242286356,108.9469147538022,260087891.0
1475336245.0,108.94678,34.218920000000004,34.21891923101412,108.946916735165,260087891.0
1475336248.0,108.94679,34.2192,34.21919927482145,108.94691904719409,260087891.0
1475336251.0,108.9468,34.21948,34.21947931862761,108.94692135918976,260087891.0
1475336254.0,108.9468,34.21974,34.219739306415526,108.94692350557636,260087891.0
1475336257.0,108.9468,34.21997,34.219969295613105,108.94692540427894,260087891.0
1475336260.0,108.9468,34.22018,34.22017928575048,108.9469271378573,260087891.0
1475336263.0,108.9468,34.22038,34.220379276357924,108.94692878886688,260087891.0
1475336266.0,108.94681000000001,34.22053,34.22052931566468,108.94693004481682,260087891.0
1475336272.0,108.94681000000001,34.22075,34.2207493050124,108.94693188878523,260087891.0
1475336275.0,108.94681000000001,34.22087,34.22086929920226,108.94693289457754,260087891.0
1475336278.0,108.94682,34.22104,34.22103934879717,108.9469343199243,260087891.0
1475336281.0,108.94682,34.22121,34.22120934056583,108.94693574477414,260087891.0
1475336284.0,108.94682,34.22141,34.22140933088229,108.9469374210523,260087891.0
