timestamp,longitude,latitude,projection_lat,projection_lon,linkPVID
1475300064.0,108.91143000000001,34.21183,34.21190304672679,108.91143048201029,764116241.0
1475300067.0,108.91175,34.21183,34.21190158794794,108.91175047264879,764116241.0
1475300070.0,108.91206000000001,34.21183,34.21190017395899,108.91206046356396,764116241.0
1475300073.0,108.91238,34.21183,34.21189871353484,108.91238045416986,764116241.0
1475300076.0,108.91266999999999,34.21183,34.21189738930357,108.91267044564215,764116241.0
1475300079.0,108.91298,34.21183,34.21189699335192,108.91297958730108,764116241.0
1475300082.0,108.91335,34.21183,34.211898565158066,108.91334957792292,764116241.0
1475300085.0,108.91371000000001,34.21184,34.211900093672,108.91370963030391,764116241.0
1475300088.0,108.91407,34.21184,34.21190162086743,108.914069621176,764116241.0
1475300091.0,108.91443000000001,34.21184,34.211902211011854,108.9144299629903,764116241.0
1475300094.0,108.91479,34.21185,34.211902357277154,108.91478996903496,764116241.0
1475300097.0,108.91515,34.211859999999994,34.21190250248487,108.9151499749965,764116241.0
1475300100.0,108.91551000000001,34.211859999999994,34.21189718393889,108.91551084404716,764116241.0
1475300103.0,108.9159,34.211870000000005,34.21189107533654,108.9159004782718,764116241.0
1475300106.0,108.91628,34.21188,34.2118851222656,108.9162801158812,764116241.0
1475300109.0,108.91663999999999,34.21188,34.21188534059744,108.91663997978368,764116241.0
1475300112.0,108.91696999999999,34.21188,34.21188619299628,108.91696997661623,764116241.0
1475300115.0,108.91735,34.21188,34.21188717344586,108.91734997298114,764116241.0
1475300118.0,108.9177,34.21188,34.211888075449274,108.9176999696448,764116241.0
1475300121.0,108.91802,34.21188,34.211888899263485,108.91801996660423,764116241.0
1475300124.0,108.9183,34.21188,34.21188961941561,108.91829996395138,764116241.0
1475300127.0,108.91861000000002,34.21188,34.211890415980804,108.91860996102258,764116241.0
1475300130.0,108.91877,34.21188,34.21189082680445,108.9187699595144,764116241.0
1475300133.0,108.91886000000001,34.21188,34.21189105780096,108.91885995866708,764116241.0
1475300136.0,108.91886000000001,34.21188,34.21189105780096,108.91885995866708,764116241.0
1475300139.0,108.91898,34.21188,34.211891365693525,108.91897995753844,764116241.0
1475300142.0,108.91898,34.21188,34.211891365693525,108.91897995753844,764116241.0
1475300145.0,108.91917,34.21188,34.21189185294982,108.91916995575413,764116241.0
1475300148.0,108.91917,34.21188,34.21189185294982,108.91916995575413,764116241.0
1475300151.0,108.91917,34.21188,34.21189185294982,108.91916995575413,764116241.0
1475300157.0,108.91933999999999,34.21188,34.21189228866631,108.9193399541604,764116241.0
1475300163.0,108.91933999999999,34.21188,34.21189228866631,108.9193399541604,764116241.0
1475300166.0,108.91933999999999,34.21188,34.21189228866631,108.9193399541604,764116241.0
1475300167.0,108.91933999999999,34.21188,34.21189228866631,108.9193399541604,764116241.0
